episode,state,Q_action_0,Q_action_1
1,x1,0.0,0.0
1,x2,0.0,0.0
1,x3,0.0,0.0
1,x4,0.0,0.0
1,x5,0.0,0.0
1,x6,0.0,0.0
100,x1,1.784348487854004,2.574183225631714
100,x2,1.3367362022399902,2.4741556644439697
100,x3,1.9524120092391968,2.2517642974853516
100,x4,4.276815414428711,2.8485071659088135
100,x5,9.29189395904541,14.967229843139648
100,x6,72.9000015258789,0.995825469493866
200,x1,13.903925895690918,14.37790298461914
200,x2,15.977639198303223,18.947837829589844
200,x3,23.812965393066406,25.6066837310791
200,x4,32.521636962890625,35.44901657104492
200,x5,35.5543098449707,42.353416442871094
200,x6,107.70730590820312,0.9999734163284302
300,x1,37.77976608276367,38.583763122558594
300,x2,38.03604507446289,39.77833938598633
300,x3,33.969207763671875,34.712467193603516
300,x4,27.86520004272461,23.782428741455078
300,x5,13.588581085205078,15.508533477783203
300,x6,5.16066312789917,0.9999997615814209
400,x1,22.01036262512207,25.376617431640625
400,x2,30.99216651916504,31.085418701171875
400,x3,39.86875915527344,45.914493560791016
400,x4,50.77351379394531,54.013671875
400,x5,50.59870910644531,42.71232986450195
400,x6,41.41826248168945,0.9999997615814209
500,x1,23.634157180786133,26.24580192565918
500,x2,16.0029296875,19.155179977416992
500,x3,8.759481430053711,11.862922668457031
500,x4,8.804645538330078,5.363637924194336
500,x5,9.623067855834961,28.576473236083984
500,x6,59.17504119873047,0.9999997615814209
600,x1,28.323942184448242,30.919418334960938
600,x2,28.248477935791016,29.300365447998047
600,x3,24.28725242614746,23.564987182617188
600,x4,14.408707618713379,15.427997589111328
600,x5,5.64166259765625,6.640994548797607
600,x6,1.391019582748413,0.9999997615814209
700,x1,10.628814697265625,11.359811782836914
700,x2,11.205991744995117,11.293926239013672
700,x3,13.654041290283203,14.937275886535645
700,x4,15.204758644104004,18.399538040161133
700,x5,10.731291770935059,13.55173397064209
700,x6,5.245616912841797,0.9999997615814209
800,x1,16.96493148803711,18.060562133789062
800,x2,15.354037284851074,15.920010566711426
800,x3,11.828301429748535,11.751904487609863
800,x4,6.638294696807861,7.0302300453186035
800,x5,2.473517656326294,3.0966458320617676
800,x6,0.4250911772251129,0.9999997615814209
900,x1,5.722334861755371,5.973676681518555
900,x2,3.976553440093994,4.248692035675049
900,x3,2.616436243057251,3.275498151779175
900,x4,1.6537587642669678,2.5871376991271973
