episode,state,Q_action_0,Q_action_1
1,x1|hist=[],0.0,0.0
1,x2|hist=[0],0.0,0.0
1,"x3|hist=[0, 0]",0.0,0.0
1,"x4|hist=[0, 0, 0]",0.0,0.0
1,"x5|hist=[0, 0, 0, 0]",0.0,0.0
1,"x6|hist=[0, 0, 0, 0, 0]",0.0,0.0
100,x1|hist=[],0.8248152136802673,1.6857714653015137
100,x2|hist=[0],0.06759923696517944,1.1691590547561646
100,x2|hist=[1],0.2434154897928238,1.4498190879821777
100,"x3|hist=[0, 0]",0.07413790374994278,0.41752898693084717
100,"x3|hist=[0, 1]",0.029145250096917152,0.9486567378044128
100,"x3|hist=[1, 0]",0.11367397010326385,0.7785950303077698
100,"x3|hist=[1, 1]",0.09802190214395523,1.0777997970581055
100,"x4|hist=[0, 0, 0]",0.025126200169324875,0.43445801734924316
100,"x4|hist=[0, 0, 1]",0.0,0.1899999976158142
100,"x4|hist=[0, 1, 0]",0.0535331629216671,0.2709999978542328
100,"x4|hist=[0, 1, 1]",0.0,0.6569334864616394
100,"x4|hist=[1, 0, 0]",0.08064539730548859,0.5316030979156494
100,"x4|hist=[1, 0, 1]",0.05275709927082062,0.4962790012359619
100,"x4|hist=[1, 1, 0]",0.12086247652769089,0.4703231751918793
100,"x4|hist=[1, 1, 1]",0.04685768857598305,0.7309912443161011
100,"x5|hist=[0, 0, 0, 0]",0.008910000324249268,0.2809000015258789
100,"x5|hist=[0, 0, 0, 1]",0.00989999994635582,0.2809000015258789
100,"x5|hist=[0, 0, 1, 0]",0.00989999994635582,0.0
100,"x5|hist=[0, 0, 1, 1]",0.0,0.10000000149011612
100,"x5|hist=[0, 1, 0, 0]",0.027719998732209206,0.370728999376297
100,"x5|hist=[0, 1, 0, 1]",0.0,0.10000000149011612
100,"x5|hist=[0, 1, 1, 0]",0.0,0.10000000149011612
100,"x5|hist=[0, 1, 1, 1]",0.00989999994635582,0.34389999508857727
100,"x5|hist=[1, 0, 0, 0]",0.0,0.41940999031066895
100,"x5|hist=[1, 0, 0, 1]",0.0,0.19990000128746033
100,"x5|hist=[1, 0, 1, 0]",0.0,0.3716199994087219
100,"x5|hist=[1, 0, 1, 1]",0.0,0.2809000015258789
100,"x5|hist=[1, 1, 0, 0]",0.0,0.5151582956314087
100,"x5|hist=[1, 1, 0, 1]",0.026829000562429428,0.10000000149011612
100,"x5|hist=[1, 1, 1, 0]",0.027719998732209206,0.3537999987602234
100,"x5|hist=[1, 1, 1, 1]",0.0,0.4372299909591675
100,"x6|hist=[0, 0, 0, 0, 0]",0.0,0.1899999976158142
100,"x6|hist=[0, 0, 0, 0, 1]",0.0,0.1899999976158142
100,"x6|hist=[0, 0, 0, 1, 0]",0.0,0.1899999976158142
100,"x6|hist=[0, 0, 0, 1, 1]",0.0,0.1899999976158142
100,"x6|hist=[0, 0, 1, 0, 0]",0.0,0.1899999976158142
100,"x6|hist=[0, 0, 1, 1, 0]",0.0,0.10000000149011612
100,"x6|hist=[0, 0, 1, 1, 1]",0.0,0.0
100,"x6|hist=[0, 1, 0, 0, 0]",0.0,0.2709999978542328
100,"x6|hist=[0, 1, 0, 0, 1]",0.0,0.2709999978542328
100,"x6|hist=[0, 1, 0, 1, 0]",100.0,0.10000000149011612
100,"x6|hist=[0, 1, 0, 1, 1]",0.0,0.10000000149011612
100,"x6|hist=[0, 1, 1, 0, 0]",0.0,0.10000000149011612
100,"x6|hist=[0, 1, 1, 0, 1]",0.0,0.10000000149011612
100,"x6|hist=[0, 1, 1, 1, 0]",0.0,0.1899999976158142
100,"x6|hist=[0, 1, 1, 1, 1]",0.0,0.0
100,"x6|hist=[1, 0, 0, 0, 1]",0.0,0.1899999976158142
100,"x6|hist=[1, 0, 0, 1, 0]",0.0,0.10000000149011612
100,"x6|hist=[1, 0, 0, 1, 1]",0.0,0.1899999976158142
100,"x6|hist=[1, 0, 1, 0, 0]",0.0,0.0
100,"x6|hist=[1, 0, 1, 0, 1]",0.0,0.2709999978542328
100,"x6|hist=[1, 0, 1, 1, 0]",0.0,0.10000000149011612
100,"x6|hist=[1, 0, 1, 1, 1]",0.0,0.1899999976158142
100,"x6|hist=[1, 1, 0, 0, 0]",0.0,0.0
100,"x6|hist=[1, 1, 0, 0, 1]",0.0,0.34389999508857727
100,"x6|hist=[1, 1, 0, 1, 0]",0.0,0.2709999978542328
100,"x6|hist=[1, 1, 0, 1, 1]",0.0,0.10000000149011612
100,"x6|hist=[1, 1, 1, 0, 0]",0.0,0.2709999978542328
100,"x6|hist=[1, 1, 1, 0, 1]",0.0,0.1899999976158142
100,"x6|hist=[1, 1, 1, 1, 0]",0.0,0.10000000149011612
100,"x6|hist=[1, 1, 1, 1, 1]",0.0,0.2709999978542328
200,x1|hist=[],1.1203391551971436,2.3669588565826416
200,x2|hist=[0],0.6523937582969666,1.7720921039581299
200,x2|hist=[1],0.7257402539253235,1.7243990898132324
200,"x3|hist=[0, 0]",0.12626178562641144,1.2199256420135498
200,"x3|hist=[0, 1]",1.7990249395370483,1.3657646179199219
200,"x3|hist=[1, 0]",0.22830776870250702,1.3113844394683838
200,"x3|hist=[1, 1]",0.4288555681705475,1.4395660161972046
200,"x4|hist=[0, 0, 0]",0.07599763572216034,0.5679192543029785
200,"x4|hist=[0, 0, 1]",0.001764180138707161,0.8468557596206665
200,"x4|hist=[0, 1, 0]",0.10521047562360764,10.756318092346191
200,"x4|hist=[0, 1, 1]",0.04916716367006302,0.9807336926460266
200,"x4|hist=[1, 0, 0]",0.27468836307525635,0.6995086073875427
200,"x4|hist=[1, 0, 1]",0.3475525975227356,0.8909519910812378
200,"x4|hist=[1, 1, 0]",0.4424053728580475,0.8867794871330261
200,"x4|hist=[1, 1, 1]",0.12175393104553223,1.0076080560684204
200,"x5|hist=[0, 0, 0, 0]",0.07992368936538696,0.4612870216369629
200,"x5|hist=[0, 0, 0, 1]",0.008910000324249268,0.3716199994087219
200,"x5|hist=[0, 0, 1, 0]",0.026829000562429428,0.0
200,"x5|hist=[0, 0, 1, 1]",0.06838691979646683,0.4953880310058594
200,"x5|hist=[0, 1, 0, 0]",0.04928220063447952,0.49029049277305603
200,"x5|hist=[0, 1, 0, 1]",43.75300598144531,0.35280999541282654
200,"x5|hist=[0, 1, 1, 0]",0.027719998732209206,0.370728999376297
200,"x5|hist=[0, 1, 1, 1]",0.04659929871559143,0.5695328116416931
200,"x5|hist=[1, 0, 0, 0]",0.0,0.691240131855011
200,"x5|hist=[1, 0, 0, 1]",0.0,0.370728999376297
200,"x5|hist=[1, 0, 1, 0]",0.0,0.8548205494880676
200,"x5|hist=[1, 0, 1, 1]",0.0249479990452528,0.57195645570755
200,"x5|hist=[1, 1, 0, 0]",0.0,0.855045735836029
200,"x5|hist=[1, 1, 0, 1]",0.09880585968494415,0.41752898693084717
200,"x5|hist=[1, 1, 1, 0]",0.020207880064845085,0.5726782083511353
200,"x5|hist=[1, 1, 1, 1]",0.07258085906505585,0.6455182433128357
200,"x6|hist=[0, 0, 0, 0, 0]",0.0,0.4095100164413452
200,"x6|hist=[0, 0, 0, 0, 1]",0.0,0.34389999508857727
200,"x6|hist=[0, 0, 0, 1, 0]",0.0,0.1899999976158142
200,"x6|hist=[0, 0, 0, 1, 1]",0.0,0.2709999978542328
200,"x6|hist=[0, 0, 1, 0, 0]",0.0,0.2709999978542328
200,"x6|hist=[0, 0, 1, 1, 0]",0.0,0.4095100164413452
200,"x6|hist=[0, 0, 1, 1, 1]",0.0,0.2709999978542328
200,"x6|hist=[0, 1, 0, 0, 0]",0.0,0.34389999508857727
200,"x6|hist=[0, 1, 0, 0, 1]",0.0,0.2709999978542328
200,"x6|hist=[0, 1, 0, 1, 0]",343.8999938964844,0.34389999508857727
200,"x6|hist=[0, 1, 0, 1, 1]",0.0,0.1899999976158142
200,"x6|hist=[0, 1, 1, 0, 0]",0.0,0.2709999978542328
200,"x6|hist=[0, 1, 1, 0, 1]",0.0,0.2709999978542328
200,"x6|hist=[0, 1, 1, 1, 0]",0.0,0.34389999508857727
200,"x6|hist=[0, 1, 1, 1, 1]",0.0,0.10000000149011612
200,"x6|hist=[1, 0, 0, 0, 1]",0.0,0.34389999508857727
200,"x6|hist=[1, 0, 0, 1, 0]",0.0,0.10000000149011612
200,"x6|hist=[1, 0, 0, 1, 1]",0.0,0.2709999978542328
200,"x6|hist=[1, 0, 1, 0, 0]",0.0,0.0
200,"x6|hist=[1, 0, 1, 0, 1]",0.0,0.5695328116416931
200,"x6|hist=[1, 0, 1, 1, 0]",0.0,0.2709999978542328
200,"x6|hist=[1, 0, 1, 1, 1]",0.0,0.34389999508857727
200,"x6|hist=[1, 1, 0, 0, 0]",0.0,0.0
200,"x6|hist=[1, 1, 0, 0, 1]",0.0,0.46855902671813965
200,"x6|hist=[1, 1, 0, 1, 0]",0.0,0.46855902671813965
200,"x6|hist=[1, 1, 0, 1, 1]",0.0,0.1899999976158142
200,"x6|hist=[1, 1, 1, 0, 0]",0.0,0.2709999978542328
200,"x6|hist=[1, 1, 1, 0, 1]",0.0,0.34389999508857727
200,"x6|hist=[1, 1, 1, 1, 0]",0.0,0.4095100164413452
200,"x6|hist=[1, 1, 1, 1, 1]",0.0,0.4095100164413452
300,x1|hist=[],2.107612371444702,2.347426652908325
300,x2|hist=[0],0.963331401348114,5.539220809936523
300,x2|hist=[1],1.1504528522491455,2.1259098052978516
300,"x3|hist=[0, 0]",0.3684874475002289,1.7148956060409546
300,"x3|hist=[0, 1]",13.55926513671875,1.6234701871871948
300,"x3|hist=[1, 0]",0.5185564160346985,1.649346113204956
300,"x3|hist=[1, 1]",0.6434184312820435,1.7523345947265625
300,"x4|hist=[0, 0, 0]",0.20440267026424408,0.8855851888656616
300,"x4|hist=[0, 0, 1]",0.051015108823776245,1.2856594324111938
300,"x4|hist=[0, 1, 0]",0.1779201477766037,46.95978546142578
300,"x4|hist=[0, 1, 1]",0.11402963101863861,1.1184669733047485
300,"x4|hist=[1, 0, 0]",0.3333268165588379,1.0206679105758667
300,"x4|hist=[1, 0, 1]",0.39845097064971924,1.1243704557418823
300,"x4|hist=[1, 1, 0]",0.3229454457759857,1.1099672317504883
300,"x4|hist=[1, 1, 1]",0.17682038247585297,1.1843364238739014
300,"x5|hist=[0, 0, 0, 0]",0.11247281730175018,0.6713429093360901
300,"x5|hist=[0, 0, 0, 1]",0.04587759077548981,0.594283938407898
300,"x5|hist=[0, 0, 1, 0]",0.04370444267988205,0.370728999376297
300,"x5|hist=[0, 0, 1, 1]",0.16364577412605286,0.9516423940658569
300,"x5|hist=[0, 1, 0, 0]",0.04435398057103157,0.613964319229126
300,"x5|hist=[0, 1, 0, 1]",161.81964111328125,0.5890911221504211
300,"x5|hist=[0, 1, 1, 0]",0.05177699774503708,0.5171194672584534
300,"x5|hist=[0, 1, 1, 1]",0.16346631944179535,0.6513215899467468
300,"x5|hist=[1, 0, 0, 0]",0.0,0.7839506268501282
300,"x5|hist=[1, 0, 0, 1]",0.00989999994635582,0.6707583665847778
300,"x5|hist=[1, 0, 1, 0]",0.00989999994635582,1.0004323720932007
300,"x5|hist=[1, 0, 1, 1]",0.13174088299274445,0.7185977697372437
300,"x5|hist=[1, 1, 0, 0]",0.0,0.9159284830093384
300,"x5|hist=[1, 1, 0, 1]",0.14047826826572418,0.6147608160972595
300,"x5|hist=[1, 1, 1, 0]",0.07456058263778687,0.6879154443740845
300,"x5|hist=[1, 1, 1, 1]",0.11416162550449371,0.8161700367927551
300,"x6|hist=[0, 0, 0, 0, 0]",0.0,0.46855902671813965
300,"x6|hist=[0, 0, 0, 0, 1]",0.0,0.46855902671813965
300,"x6|hist=[0, 0, 0, 1, 0]",0.0,0.34389999508857727
300,"x6|hist=[0, 0, 0, 1, 1]",0.0,0.4095100164413452
300,"x6|hist=[0, 0, 1, 0, 0]",0.0,0.34389999508857727
300,"x6|hist=[0, 0, 1, 0, 1]",0.0,0.2709999978542328
300,"x6|hist=[0, 0, 1, 1, 0]",0.0,0.5695328116416931
300,"x6|hist=[0, 0, 1, 1, 1]",0.0,0.6125795245170593
300,"x6|hist=[0, 1, 0, 0, 0]",0.0,0.34389999508857727
300,"x6|hist=[0, 1, 0, 0, 1]",0.0,0.34389999508857727
300,"x6|hist=[0, 1, 0, 1, 0]",569.5328369140625,0.4095100164413452
300,"x6|hist=[0, 1, 0, 1, 1]",0.0,0.2709999978542328
300,"x6|hist=[0, 1, 1, 0, 0]",0.0,0.34389999508857727
300,"x6|hist=[0, 1, 1, 0, 1]",0.0,0.34389999508857727
300,"x6|hist=[0, 1, 1, 1, 0]",0.0,0.5695328116416931
300,"x6|hist=[0, 1, 1, 1, 1]",0.0,0.10000000149011612
300,"x6|hist=[1, 0, 0, 0, 0]",0.0,0.0
300,"x6|hist=[1, 0, 0, 0, 1]",0.0,0.4095100164413452
300,"x6|hist=[1, 0, 0, 1, 0]",0.0,0.1899999976158142
300,"x6|hist=[1, 0, 0, 1, 1]",0.0,0.46855902671813965
300,"x6|hist=[1, 0, 1, 0, 0]",0.0,0.1899999976158142
300,"x6|hist=[1, 0, 1, 0, 1]",0.0,0.6513215899467468
300,"x6|hist=[1, 0, 1, 1, 0]",0.0,0.5217031240463257
300,"x6|hist=[1, 0, 1, 1, 1]",0.0,0.4095100164413452
300,"x6|hist=[1, 1, 0, 0, 0]",0.0,0.10000000149011612
300,"x6|hist=[1, 1, 0, 0, 1]",0.0,0.5217031240463257
300,"x6|hist=[1, 1, 0, 1, 0]",0.0,0.5695328116416931
300,"x6|hist=[1, 1, 0, 1, 1]",0.0,0.34389999508857727
300,"x6|hist=[1, 1, 1, 0, 0]",0.0,0.4095100164413452
300,"x6|hist=[1, 1, 1, 0, 1]",0.0,0.4095100164413452
300,"x6|hist=[1, 1, 1, 1, 0]",0.0,0.5217031240463257
300,"x6|hist=[1, 1, 1, 1, 1]",0.0,0.5217031240463257
400,x1|hist=[],7.35341215133667,2.9581522941589355
400,x2|hist=[0],1.1358258724212646,20.42154312133789
400,x2|hist=[1],1.3284616470336914,2.2973475456237793
400,"x3|hist=[0, 0]",0.43156394362449646,1.8148690462112427
400,"x3|hist=[0, 1]",62.20504379272461,1.915130615234375
400,"x3|hist=[1, 0]",0.5100904107093811,1.8721349239349365
400,"x3|hist=[1, 1]",1.008870005607605,1.6019443273544312
400,"x4|hist=[0, 0, 0]",0.2611943781375885,1.0500860214233398
400,"x4|hist=[0, 0, 1]",0.1607944220304489,1.63946533203125
400,"x4|hist=[0, 1, 0]",0.33472201228141785,157.54119873046875
400,"x4|hist=[0, 1, 1]",0.21354320645332336,1.3983608484268188
400,"x4|hist=[1, 0, 0]",0.5040112137794495,1.0195811986923218
400,"x4|hist=[1, 0, 1]",0.5173059105873108,1.4216580390930176
400,"x4|hist=[1, 1, 0]",0.43981748819351196,1.388818383216858
400,"x4|hist=[1, 1, 1]",0.2987041771411896,1.2897030115127563
400,"x5|hist=[0, 0, 0, 0]",0.24589140713214874,0.7755363583564758
400,"x5|hist=[0, 0, 0, 1]",0.06780233234167099,0.6713700294494629
400,"x5|hist=[0, 0, 1, 0]",0.14231257140636444,0.5936344265937805
400,"x5|hist=[0, 0, 1, 1]",0.1472811996936798,1.1831828355789185
400,"x5|hist=[0, 1, 0, 0]",0.18015608191490173,0.7943874597549438
400,"x5|hist=[0, 1, 0, 1]",330.8867492675781,0.8233172297477722
400,"x5|hist=[0, 1, 1, 0]",0.04193937033414841,0.758432149887085
400,"x5|hist=[0, 1, 1, 1]",0.19747675955295563,0.859714150428772
400,"x5|hist=[1, 0, 0, 0]",0.0,0.9374759793281555
400,"x5|hist=[1, 0, 0, 1]",0.027719998732209206,0.6707583665847778
400,"x5|hist=[1, 0, 1, 0]",0.00989999994635582,1.0583829879760742
400,"x5|hist=[1, 0, 1, 1]",0.1702154129743576,1.0474765300750732
400,"x5|hist=[1, 1, 0, 0]",0.0,1.0347696542739868
400,"x5|hist=[1, 1, 0, 1]",0.21638433635234833,0.8847342133522034
400,"x5|hist=[1, 1, 1, 0]",0.25766903162002563,0.8553650379180908
400,"x5|hist=[1, 1, 1, 1]",0.1860913336277008,0.8975814580917358
400,"x6|hist=[0, 0, 0, 0, 0]",0.0,0.6513215899467468
400,"x6|hist=[0, 0, 0, 0, 1]",0.0,0.5217031240463257
400,"x6|hist=[0, 0, 0, 1, 0]",0.0,0.4095100164413452
400,"x6|hist=[0, 0, 0, 1, 1]",0.0,0.4095100164413452
400,"x6|hist=[0, 0, 1, 0, 0]",0.0,0.5217031240463257
400,"x6|hist=[0, 0, 1, 0, 1]",0.0,0.4095100164413452
400,"x6|hist=[0, 0, 1, 1, 0]",0.0,0.5695328116416931
400,"x6|hist=[0, 0, 1, 1, 1]",0.0,0.7458134293556213
400,"x6|hist=[0, 1, 0, 0, 0]",0.0,0.5695328116416931
400,"x6|hist=[0, 1, 0, 0, 1]",0.0,0.4095100164413452
400,"x6|hist=[0, 1, 0, 1, 0]",771.2321166992188,0.5695328116416931
400,"x6|hist=[0, 1, 0, 1, 1]",0.0,0.46855902671813965
400,"x6|hist=[0, 1, 1, 0, 0]",0.0,0.34389999508857727
400,"x6|hist=[0, 1, 1, 0, 1]",0.0,0.5217031240463257
400,"x6|hist=[0, 1, 1, 1, 0]",0.0,0.6513215899467468
400,"x6|hist=[0, 1, 1, 1, 1]",0.0,0.34389999508857727
400,"x6|hist=[1, 0, 0, 0, 0]",0.0,0.0
400,"x6|hist=[1, 0, 0, 0, 1]",0.0,0.5217031240463257
400,"x6|hist=[1, 0, 0, 1, 0]",0.0,0.2709999978542328
400,"x6|hist=[1, 0, 0, 1, 1]",0.0,0.46855902671813965
400,"x6|hist=[1, 0, 1, 0, 0]",0.0,0.1899999976158142
400,"x6|hist=[1, 0, 1, 0, 1]",0.0,0.6861894130706787
400,"x6|hist=[1, 0, 1, 1, 0]",0.0,0.5695328116416931
400,"x6|hist=[1, 0, 1, 1, 1]",0.0,0.6513215899467468
400,"x6|hist=[1, 1, 0, 0, 0]",0.0,0.10000000149011612
400,"x6|hist=[1, 1, 0, 0, 1]",0.0,0.6125795245170593
400,"x6|hist=[1, 1, 0, 1, 0]",0.0,0.6861894130706787
400,"x6|hist=[1, 1, 0, 1, 1]",0.0,0.5217031240463257
400,"x6|hist=[1, 1, 1, 0, 0]",0.0,0.6513215899467468
400,"x6|hist=[1, 1, 1, 0, 1]",0.0,0.5217031240463257
400,"x6|hist=[1, 1, 1, 1, 0]",0.0,0.6125795245170593
400,"x6|hist=[1, 1, 1, 1, 1]",0.0,0.5695328116416931
500,x1|hist=[],14.21812629699707,2.9446606636047363
500,x2|hist=[0],1.3258695602416992,56.80741882324219
500,x2|hist=[1],1.4525845050811768,2.4083597660064697
500,"x3|hist=[0, 0]",0.6406244039535522,2.1405441761016846
500,"x3|hist=[0, 1]",109.79400634765625,1.8538165092468262
500,"x3|hist=[1, 0]",0.7031612992286682,2.145385980606079
500,"x3|hist=[1, 1]",1.008614420890808,1.8816696405410767
500,"x4|hist=[0, 0, 0]",0.43158265948295593,1.327978253364563
500,"x4|hist=[0, 0, 1]",0.15169379115104675,1.619044303894043
500,"x4|hist=[0, 1, 0]",0.3931350111961365,243.53604125976562
500,"x4|hist=[0, 1, 1]",0.40173080563545227,1.4912420511245728
500,"x4|hist=[1, 0, 0]",0.5443824529647827,1.1976139545440674
500,"x4|hist=[1, 0, 1]",0.5831390619277954,1.8105756044387817
500,"x4|hist=[1, 1, 0]",0.6527348160743713,1.5148924589157104
500,"x4|hist=[1, 1, 1]",0.4942115247249603,1.5653760433197021
500,"x5|hist=[0, 0, 0, 0]",0.32513755559921265,0.9043779969215393
500,"x5|hist=[0, 0, 0, 1]",0.10156358778476715,0.8851732611656189
500,"x5|hist=[0, 0, 1, 0]",0.19623878598213196,0.5936344265937805
500,"x5|hist=[0, 0, 1, 1]",0.2866535782814026,1.2503643035888672
500,"x5|hist=[0, 1, 0, 0]",0.24561695754528046,0.9163285493850708
500,"x5|hist=[0, 1, 0, 1]",436.49853515625,0.9502841830253601
500,"x5|hist=[0, 1, 1, 0]",0.06801699101924896,0.9248300790786743
500,"x5|hist=[0, 1, 1, 1]",0.22443701326847076,0.9658504724502563
500,"x5|hist=[1, 0, 0, 0]",0.0,0.9493555426597595
500,"x5|hist=[1, 0, 0, 1]",0.04928220063447952,0.8533800840377808
500,"x5|hist=[1, 0, 1, 0]",0.008910000324249268,1.1794692277908325
500,"x5|hist=[1, 0, 1, 1]",0.1702154129743576,1.208683729171753
500,"x5|hist=[1, 1, 0, 0]",0.00989999994635582,1.244728922843933
500,"x5|hist=[1, 1, 0, 1]",0.20990251004695892,0.9662094712257385
500,"x5|hist=[1, 1, 1, 0]",0.29638296365737915,0.9935021996498108
500,"x5|hist=[1, 1, 1, 1]",0.21137934923171997,1.0897194147109985
500,"x6|hist=[0, 0, 0, 0, 0]",0.0,0.7175704836845398
500,"x6|hist=[0, 0, 0, 0, 1]",0.0,0.5695328116416931
500,"x6|hist=[0, 0, 0, 1, 0]",0.0,0.46855902671813965
500,"x6|hist=[0, 0, 0, 1, 1]",0.0,0.5217031240463257
500,"x6|hist=[0, 0, 1, 0, 0]",0.0,0.6125795245170593
500,"x6|hist=[0, 0, 1, 0, 1]",0.0,0.4095100164413452
500,"x6|hist=[0, 0, 1, 1, 0]",0.0,0.7175704836845398
500,"x6|hist=[0, 0, 1, 1, 1]",0.0,0.7941088676452637
500,"x6|hist=[0, 1, 0, 0, 0]",0.0,0.6861894130706787
500,"x6|hist=[0, 1, 0, 0, 1]",0.0,0.5217031240463257
500,"x6|hist=[0, 1, 0, 1, 0]",864.9148559570312,0.7175704836845398
500,"x6|hist=[0, 1, 0, 1, 1]",0.0,0.5695328116416931
500,"x6|hist=[0, 1, 1, 0, 0]",0.0,0.4095100164413452
500,"x6|hist=[0, 1, 1, 0, 1]",0.0,0.6125795245170593
500,"x6|hist=[0, 1, 1, 1, 0]",0.0,0.6861894130706787
500,"x6|hist=[0, 1, 1, 1, 1]",0.0,0.46855902671813965
500,"x6|hist=[1, 0, 0, 0, 0]",0.0,0.10000000149011612
500,"x6|hist=[1, 0, 0, 0, 1]",0.0,0.5217031240463257
500,"x6|hist=[1, 0, 0, 1, 0]",0.0,0.34389999508857727
500,"x6|hist=[1, 0, 0, 1, 1]",0.0,0.5695328116416931
500,"x6|hist=[1, 0, 1, 0, 0]",0.0,0.1899999976158142
500,"x6|hist=[1, 0, 1, 0, 1]",0.0,0.7458134293556213
500,"x6|hist=[1, 0, 1, 1, 0]",0.0,0.5695328116416931
500,"x6|hist=[1, 0, 1, 1, 1]",0.0,0.7712320685386658
500,"x6|hist=[1, 1, 0, 0, 0]",0.0,0.1899999976158142
500,"x6|hist=[1, 1, 0, 0, 1]",0.0,0.7458134293556213
500,"x6|hist=[1, 1, 0, 1, 0]",0.0,0.7175704836845398
500,"x6|hist=[1, 1, 0, 1, 1]",0.0,0.5695328116416931
500,"x6|hist=[1, 1, 1, 0, 0]",0.0,0.6861894130706787
500,"x6|hist=[1, 1, 1, 0, 1]",0.0,0.6125795245170593
500,"x6|hist=[1, 1, 1, 1, 0]",0.0,0.6513215899467468
500,"x6|hist=[1, 1, 1, 1, 1]",0.0,0.6861894130706787
600,x1|hist=[],71.90672302246094,3.245499610900879
600,x2|hist=[0],1.4700738191604614,86.39773559570312
600,x2|hist=[1],1.566904902458191,2.7227964401245117
600,"x3|hist=[0, 0]",1.0640325546264648,1.7577377557754517
