episode,state,Q_action_0,Q_action_1
1,x1,0.0,0.0
1,x2,0.0,0.0
1,x3,0.0,0.0
1,x4,0.0,0.0
1,x5,0.0,0.0
1,x6,0.0,0.0
100,x1,3.133056640625,4.644759654998779
100,x2,3.0776214599609375,4.241130352020264
100,x3,6.1880292892456055,4.497257232666016
100,x4,20.688127517700195,9.03531265258789
100,x5,17.66984748840332,53.17805099487305
100,x6,72.9000015258789,0.995825469493866
200,x1,35.60277557373047,34.4208869934082
200,x2,38.14620590209961,44.67668533325195
200,x3,52.62727737426758,54.64519119262695
200,x4,67.05377197265625,64.7818832397461
200,x5,67.70231628417969,68.19229888916016
200,x6,107.70730590820312,0.9999734163284302
300,x1,63.213401794433594,63.63691711425781
300,x2,55.60658264160156,60.39949035644531
300,x3,47.74825668334961,47.135406494140625
300,x4,36.08226776123047,28.2012996673584
300,x5,14.073481559753418,15.606483459472656
300,x6,2.6575069427490234,0.9999997615814209
400,x1,47.7171745300293,40.59478759765625
400,x2,61.7913703918457,60.88239288330078
400,x3,74.81781005859375,88.44245910644531
400,x4,92.06394958496094,102.01698303222656
400,x5,92.31365966796875,79.7435302734375
400,x6,41.41044616699219,0.9999997615814209
500,x1,47.72318649291992,51.62130355834961
500,x2,33.04890060424805,39.12715148925781
500,x3,15.566299438476562,24.83603286743164
500,x4,28.46319007873535,11.734731674194336
500,x5,52.17070388793945,68.15531158447266
500,x6,107.00473022460938,0.9999997615814209
600,x1,77.10850524902344,79.697265625
600,x2,70.95013427734375,70.28816223144531
600,x3,55.62057876586914,53.778812408447266
600,x4,28.987150192260742,32.570587158203125
600,x5,10.470974922180176,11.80275821685791
600,x6,1.5365774631500244,0.9999997615814209
700,x1,20.780712127685547,21.543115615844727
700,x2,20.70081329345703,19.889930725097656
700,x3,21.464481353759766,24.488079071044922
700,x4,22.21999168395996,25.2171573638916
700,x5,13.492911338806152,18.97786521911621
700,x6,5.246886253356934,0.9999997615814209
800,x1,12.306360244750977,12.364338874816895
800,x2,8.192715644836426,8.347572326660156
800,x3,4.949151515960693,5.116087913513184
800,x4,2.859168767929077,3.251460075378418
800,x5,1.1433500051498413,2.039356231689453
800,x6,0.07755359262228012,0.9999997615814209
900,x1,25.023197174072266,30.159873962402344
900,x2,26.921112060546875,36.750579833984375
900,x3,46.794429779052734,37.27446365356445
900,x4,46.14744186401367,60.748756408691406
