state,Q_action_0,Q_action_1,best_action,best_q
x1,4.825717926025391,5.851978302001953,1,5.851978302001953
x2,3.8793351650238037,4.9009904861450195,1,4.9009904861450195
x3,2.92958927154541,3.940396308898926,1,3.940396308898926
x4,1.9633729457855225,2.9700984954833984,1,2.9700984954833984
x5,0.9896678924560547,1.9899992942810059,1,1.9899992942810059
x6,1.1622236977087743e-21,0.9999997615814209,1,0.9999997615814209
